FID,G_ther_age,thk_up_cru,thk_mid_cr,upman_den_,d_2ridge,d_2trench,d2_transfo,d_2volcano,d_2hotspot,G_heat_pro,crusthk_cr,lithk_cona,depthmoho,G_d_2yng_r,OBJECTID_1,Longitude_1,Latitude_1,num_in_cel,num_in_con,GHF,G_u_m_vel_,lthlgy_all,lthlgy_mod,age,magnetic_M,moho_GReD,moho_Pasya,litho_asth,WGM2012_Ai,WGM2012_Bo,ETOPO_1deg,continent
189,5,13,12,-0.0471,726.6099853,4714.029785,4632.930176,1180.369995,24.74873734,0.95999998,39.6899986,100,-38.88999939,743.1400147,190,-44.33331299,60.50012207,0,0,0,5,0,5,1.26450753,-2.34302,-34.8465996,28460.69922,66500.60156,-29.4442997,74.2317963,1566.439941,0
191,5,12.99800015,12,-0.0403,678.0100098,4659.569824,4578.120117,1133,23.75920868,0.95999998,39.2000008,100,-38.66999817,796.9000244,192,-43.33331299,60.50012207,0,0,0,5,0,5,1.19198251,118.8059998,-35.1991005,25689.69922,52124.19922,-10.3261995,107.5009995,80.5771027,0
185,1,13.00399971,12,-0.0428,920.789978,4655.379883,4793.220215,1273.380005,27.61340332,1.00999999,36.5099983,100,-35.33000183,628.5999756,186,-47.33331299,61.50012207,0,0,37.5,6,0,5,1.37118006,-31.1324997,-41.9016991,30645.30078,143993,-21.3355007,44.0850983,799.4240112,0
186,5,13.00399971,12,-0.0335,872.9500122,4697.970215,4740.109863,1225.430054,26.61766243,0.95999998,40,100,-38.63000107,676.0900269,187,-46.33331299,61.50012207,0,0,34,6,0,5,1.37118006,113.1279984,-33.9687004,29052.59961,122690,-43.1492996,8.01262,969.8920288,0
187,5,13,12,-0.038,825.8900147,4740.25,4687,1177.22998,25.62225533,0.95999998,40,100,-38.77000046,724.6900024,188,-45.33331299,61.50012207,0,0,34,6,0,5,1.33562255,324.6860046,-29.969101,31505.19922,82662.60156,-16.3992996,30.3145008,844.5170288,0
188,5,13,12,-0.0481,777.1500244,4726.779785,4633.879883,1129.109985,24.62722015,0.95999998,40,100,-38.18999863,774.1699829,189,-44.33331299,61.50012207,0,0,0,6,0,5,1.26450753,194.5839996,-31.9738007,32934.19922,64430.10156,-6.88585,20.5335007,1104.76001,0
190,5,12.99800015,12,-0.0412,729.3800049,4674.140137,4580.790039,1081.089966,23.6326046,0.95999998,39.5600014,100,-38.31999969,824.3599853,191,-43.33331299,61.50012207,0,0,0,6,0,5,1.19198251,212.0690002,-34.3129997,31678.5,50483.30078,-23.3871002,32.4425011,278.7369995,0
238,1,10.00399971,11,-0.0433,969.3699951,4612.47998,4846.299805,1321.329956,28.60943985,1.00999999,33.0200005,100,-32.63999939,582.210022,239,-48.33331299,61.50012207,0,0,41,6,0,6,1.37118006,34.4001999,-43.4849014,32514.69922,151115,-16.8064995,93.5221024,1108.969971,0
224,1,13.0010004,12,-0.0467,1061.069946,4505.72998,4893.959961,1325.670044,29.53811073,1.00999999,41.5,100,-40.90999985,594.3599853,225,-49.33331299,62.50012207,0,0,41,6,0,6,1.69812751,-99.6996994,-47.7626991,36433.30078,189934,5.7202101,92.3600998,706.7349854,0
226,1,13.0010004,12,-0.0635,1013.190002,4548.02002,4842.589844,1277.699951,28.53944588,1.00999999,41.5,100,-40.06999969,636.9899902,227,-48.33331299,62.50012207,0,0,41,6,0,6,1.66914248,79.7577972,-52.0444984,34005,172448,1.97629,40.7751999,1143.560059,0
233,1,13.00199985,12,-0.0537,965.9799805,4590.02002,4791.189941,1229.709961,27.5408783,1.00999999,40,100,-38,681.2299805,234,-47.33331299,62.50012207,0,0,37.5,6,0,6,1.41865385,209.8670044,-47.5703011,32315,183467,26.6175995,43.6841011,1172.550049,0
234,1,13.00199985,12,-0.0378,919.5700073,4631.700195,4739.790039,1181.709961,26.54241943,1.00999999,40,100,-37.65000153,720.9899902,235,-46.33331299,62.50012207,0,0,34,6,0,6,1.41865385,121.8889999,-39.1795006,30962.59961,172344,0.90958,5.0192699,934.065979,0
235,1,12.99600029,12,-0.0373,874.0800171,4673.060059,4688.399902,1133.709961,25.54407883,1.00999999,40,100,-37.40000153,744.6099853,236,-45.33331299,62.50012207,0,0,34,6,0,6,1.36476374,199.7310028,-33.4566994,33900.10156,126593,40.2532005,36.5320015,973.7780151,0
236,1,12.99600029,12,-0.0455,829.3099976,4714.120117,4637.02002,1085.72998,24.54587555,1.00999999,38.2000008,100,-35.59999847,770.2600098,237,-44.33331299,62.50012207,0,0,0,6,0,6,1.29631627,-46.0187988,-32.9252014,35730.5,90300.89844,30.8614998,28.6014996,1486.599976,0
237,1,12.99499989,12,-0.0424,784.0499878,4690.819824,4585.680176,1037.77002,23.54782295,1.00999999,38.4799995,100,-36.83000183,797.7199707,238,-43.33331299,62.50012207,0,0,0,6,0,6,1.22409129,165.348999,-34.5564995,35605.5,62085.80078,-2.2028699,25.6364002,1201.869995,0
222,1,9.99600029,11,-0.0417,1149.819946,4402.089844,4940.22998,1337.609985,30.50409889,1.00999999,38.1300011,120,-37.52999878,543.2800293,223,-50.33331299,63.50012207,0,0,0,4,0,6,1.71262002,89.5699005,-46.770401,39995.19922,171397,-27.5967007,57.5784988,867.5079956,0
223,1,13.0010004,12,-0.0556,1104.719971,4443.700195,4890.589844,1290.040039,29.50423622,1.00999999,39,100,-37.93999863,558.75,224,-49.33331299,63.50012207,0,0,0,4,0,6,1.69812751,19.7000999,-53.1450996,38621.5,167039,-16.3227005,27.0464993,453.6059875,0
225,1,13.0010004,12,-0.0612,1059.670044,4485.029785,4840.919922,1242.410034,28.50438499,1.00999999,38,100,-36.15999985,577.3599853,226,-48.33331299,63.50012207,0,0,0,4,0,6,1.66914248,64.9989014,-54.7938995,36867.69922,178501,-1.22254,13.9469995,868.4400024,0
227,1,13.00199985,12,-0.0528,1014.73999,4526.060059,4791.25,1194.709961,27.50454521,1.00999999,38.2000008,100,-35.95000076,598.8300171,228,-47.33331299,63.50012207,0,0,0,4,0,6,1.59309697,-24.7238998,-52.1823006,35822.60156,211241,16.0613003,18.4990997,490.6119995,0
228,1,13.00199985,12,-0.0406,969.1199951,4566.77002,4741.589844,1146.969971,26.50471687,1.00999999,38.5,100,-35.97000122,622.8599853,229,-46.33331299,63.50012207,0,0,0,4,0,6,1.49461198,-130.4420013,-45.5914001,34969.60156,205317,35.0666008,30.9090004,506.4979858,0
229,1,12.99600029,12,-0.0356,922.8499756,4607.169922,4691.950195,1099.170044,25.50490189,1.00999999,39.0999985,100,-36.40000153,649.1400147,230,-45.33331299,63.50012207,0,0,0,4,0,6,1.42304623,79.5547028,-38.1945992,36059.10156,184839,46.0718002,40.0960999,786.1389771,0
230,1,12.99600029,12,-0.0375,876.75,4647.259766,4642.339844,1051.329956,24.50510216,1.00999999,39,100,-36.22000122,677.4299927,231,-44.33331299,63.50012207,0,0,0,6,0,6,1.35993373,161.4250031,-35.5004997,37449.30078,156174,69.7901001,60.3320007,435.7990112,0
231,1,12.99499989,12,-0.0392,831.3699951,4687.040039,4592.779785,1003.460022,23.50531769,1.00999999,38.4000015,100,-35.97000122,707.460022,232,-43.33331299,63.50012207,0,0,0,6,0,6,1.28830874,69.5178986,-39.1994019,39063.80078,102136,26.9876995,24.4741001,1354.819946,0
232,1,12.99499989,12,-0.0343,786.8499756,4660.799805,4543.279785,955.5499878,22.5055542,1.00999999,32.7000008,100,-31.15999985,739.0200195,233,-42.33331299,63.50012207,0,0,0,6,0,6,1.20817125,45.5676003,-43.7000008,40338.69922,67409.39844,4.2790298,35.1777,1163.060059,0
212,1,12.99499989,12,-0.0421,1189.819946,4342.640137,4937.149902,1309.959961,30.50409889,1.00999999,36.5,140,-36.13000107,437.4299927,213,-50.33331299,64.50012207,0,0,0,4,0,6,1.74478078,88.7825012,-46.0644989,44585.39844,117666,-38.9271011,43.8596992,696.5239868,0
213,1,13.00199985,12,-0.0429,1144.359985,4383.209961,4889.22998,1263.109985,29.50423622,1.00999999,38.7099991,130,-37.77999878,455.8299866,214,-49.33331299,64.50012207,0,0,0,4,0,6,1.72449005,63.9860992,-49.0227013,45169.69922,112769,-6.2378302,44.4300995,571.3740234,0
214,1,13.00199985,12,-0.0426,1099.369995,4423.5,4841.299805,1216.180054,28.50438499,1.00999999,39,100,-37.25,477.6799927,215,-48.33331299,64.50012207,0,0,0,4,0,6,1.70527005,54.3121986,-50.2421989,43426.5,167391,13.2166004,38.3087997,864.7969971,0
215,1,13.0010004,12,-0.0406,1054.089966,4463.509766,4793.390137,1169.170044,27.50454521,1.00999999,38.4000015,100,-36.20999908,502.5299988,216,-47.33331299,64.50012207,0,0,0,4,0,6,1.65586126,13.7205,-50.3684998,43381.80078,197183,30.4375,44.4123001,541.4400024,0
216,1,13.0010004,12,-0.0361,1008.619995,4503.22998,4745.5,1122.099976,26.50471687,1.00999999,38.7999992,100,-36.38000107,529.9400024,217,-46.33331299,64.50012207,0,0,0,4,0,6,1.57626379,132.9680023,-48.4131012,43030.10156,201552,35.1278992,41.0153999,623.9379883,0
217,1,13,12,-0.0297,963.6500244,4542.649902,4697.649902,1074.969971,25.50490189,1.00999999,39,100,-36.40000153,559.539978,218,-45.33331299,64.50012207,0,0,20,4,0,6,1.5087806,229.0679932,-44.8391991,42536.60156,205421,66.5126038,64.973999,913.5029907,0
218,1,13,12,-0.0244,919.25,4581.790039,4649.839844,1027.77002,24.50510216,1.00999999,39,100,-36.29000092,590.9899902,219,-44.33331299,64.50012207,0,0,20,6,0,6,1.45341182,31.4836006,-42.9393997,42373.10156,208908,70.5531006,64.7086029,614.2609863,0
219,1,13.0010004,12,-0.0252,875.539978,4620.620117,4602.089844,980.5200195,23.50531769,1.00999999,38.5900002,100,-36.02999878,624.0100098,220,-43.33331299,64.50012207,0,0,20,6,0,6,1.38307619,77.907402,-45.0900002,42362.5,166383,52.3110008,47.0513,809.7540283,0
220,1,13.0010004,12,-0.0307,832.6300049,4659.149902,4554.410156,933.2199707,22.5055542,1.00999999,38,100,-35.90999985,658.3400269,221,-42.33331299,64.50012207,0,0,0,6,0,6,1.29777372,94.5796967,-48.9053993,41086,110802,20.2551994,32.0778008,1054.630005,0
221,1,13.00300026,12,-0.036,789.7399902,4636.810059,4506.830078,885.8599853,21.5058136,0.95999998,34.2700005,100,-33.22000122,693.789978,222,-41.33331299,64.50012207,0,0,0,6,0,6,1.25804996,104.7220001,-48.7112007,37867.19922,81426.5,-41.8358002,10.2054005,790.8859863,0
508,5,13.00300026,12,-0.0304,745.1599731,4590.279785,4459.339844,838.4699707,20.50609589,0.95999998,32.5,100,-32.41999817,730.1900024,509,-40.33331299,64.50012207,0,0,0,6,0,9,1.31717002,154.7830048,-41.6422005,37805.10156,106011,-49.1593018,52.7747993,-721.3690186,0
202,1,10.00399971,11,-0.0326,1311.030029,4204.939941,5028.350098,1382.560059,32.53459549,1.00999999,36,160,-35.70999908,303.5299988,203,-52.33331299,65.50012207,0,0,0,4,0,6,1.87294996,-11.5664997,-33.7450981,45589.19922,75203.79688,-17.9638004,84.3718033,496.8320007,0
203,1,12.99499989,12,-0.0434,1266.589966,4244.990234,4982.209961,1336.920044,31.53569412,1.00999999,41.25,160,-40.72000122,316.7200012,204,-51.33331299,65.50012207,0,0,31,4,0,6,1.84344542,51.2262001,-40.6781006,47335.39844,85739,-37.9824982,41.966301,42.8835983,0
204,1,12.99499989,12,-0.041,1222.48999,4284.77002,4936.049805,1291.209961,30.53686333,1.00999999,41.25,150,-40.59999847,335.1400147,205,-50.33331299,65.50012207,0,0,31,4,0,6,1.79623795,-134.5180054,-44.2448006,47745.69922,104756,-34.1142998,27.3062992,406.2579956,0
205,1,13.00199985,12,-0.0318,1178.780029,4324.299805,4889.879883,1245.430054,29.53811073,1.00999999,40.75,150,-39.5,357.9700012,206,-49.33331299,65.50012207,0,0,31,4,0,6,1.777215,-20.1348991,-44.9996986,47487.5,134297,-28.4181004,13.0509996,557.2960205,0
206,1,13.00199985,12,-0.0276,1135.52002,4363.549805,4843.740234,1199.599976,28.53944588,1.00999999,41.3499985,140,-39.68000031,384.4299927,207,-48.33331299,65.50012207,0,0,0,4,0,6,1.77752495,-41.0273018,-44.9802017,46954.5,171166,4.9724498,34.8272018,465.071991,0
207,1,13.0010004,12,-0.0314,1092.469971,4402.529785,4797.609863,1153.709961,27.5408783,1.00999999,41,130,-38.99000168,413.8099976,208,-47.33331299,65.50012207,0,0,0,4,0,6,1.74440372,-75.2904968,-45.1530991,47535,172943,21.1014996,39.9007988,532.0349731,0
208,1,13.0010004,12,-0.0362,1047.910034,4441.22998,4751.52002,1107.780029,26.54241943,1.00999999,41,110,-38.74000168,445.519989,209,-46.33331299,65.50012207,0,0,0,4,0,6,1.6778512,-92.9944992,-45.2140999,48162,179694,33.5271988,47.0467987,499.4100037,0
209,1,13,12,-0.0339,1003.710022,4479.649902,4705.470215,1061.810059,25.54407883,1.00999999,41,100,-38.58000183,479.1099853,210,-45.33331299,65.50012207,0,0,20,4,0,6,1.62196684,124.3519974,-44.646801,48196.30078,189495,28.5587006,40.0612984,362.9110107,0
210,1,13,12,-0.0246,959.9199829,4517.790039,4659.490234,1015.799988,24.54587555,1.00999999,41,100,-38.49000168,514.1900024,211,-44.33331299,65.50012207,0,0,20,4,0,6,1.57675064,-43.6046982,-43.5485001,46774,207829,28.8792,38.5455017,200.2279968,0
211,5,13.0010004,12,-0.0173,916.6099853,4555.629883,4613.580078,969.7600098,23.54782295,0.95999998,39,100,-36.61999893,550.4699707,212,-43.33331299,65.50012207,0,0,20,4,0,6,1.50839376,-70.5895996,-42.4970016,44722.80078,213232,31.8491993,44.0670013,564.2420044,0
505,5,13.0010004,12,-0.0187,873.8699951,4593.180176,4567.759766,923.710022,22.54994392,0.95999998,38.5999985,100,-36.52000046,587.710022,506,-42.33331299,65.50012207,0,0,0,4,0,9,1.41689622,-20.0737,-41.6935005,41851.30078,159331,33.3450012,55.9831009,429.6400146,0
506,5,13.00300026,12,-0.0279,831.75,4630.430176,4522.040039,877.6400147,21.55226135,0.95999998,38.5999985,100,-37.02999878,625.75,507,-41.33331299,65.50012207,0,0,0,4,0,9,1.35555398,-48.046299,-40.6395988,38788.10156,94974.5,-16.2063007,26.1103992,615.9069824,0
507,5,13.00300026,12,-0.0343,789.8099976,4618.919922,4476.439941,831.5800171,20.55480385,0.95999998,36.5400009,100,-35.49000168,664.4299927,508,-40.33331299,65.50012207,0,0,0,4,0,9,1.31717002,13.1444998,-38.6772003,40224.30078,80103.10156,-44.9418983,19.5925007,288.2200012,0
194,5,13.00399971,12,-0.0203,1381.920044,4111.899902,5070.080078,1414.51001,33.59315491,0.95999998,36,170,-35.86999893,185.6600037,195,-53.33331299,66.50012207,0,0,0,4,0,6,1.89194751,85.4027023,-29.5520992,44189.30078,79808.20313,8.0296001,109.4789963,4.8790102,0
195,1,13.00399971,12,-0.0303,1252.25,4228.709961,4936.930176,1281.73999,30.60228729,1.00999999,46,160,-45.25,240.9700012,196,-50.33331299,66.50012207,0,0,31,4,0,6,1.86030316,75.6781998,-34.9790001,47174.19922,134085,-0.472267,48.8889999,495.8659973,0
196,1,13.00399971,12,-0.0254,1209.560059,4267.140137,4892.560059,1237.420044,29.60574341,1.00999999,46,160,-45.04999924,270.7000122,197,-49.33331299,66.50012207,0,0,31,4,0,6,1.85437059,-69.5171967,-35.2392006,47921.19922,154268,-8.2440395,36.9645996,326.1650085,0
197,1,13.00399971,12,-0.0267,1167.199951,4305.310059,4848.209961,1193.089966,28.60943985,1.00999999,45,160,-43.52999878,303.5799866,198,-48.33331299,66.50012207,0,0,0,4,0,6,1.86360192,-91.264801,-35.7845001,48856.60156,156036,17.3656006,55.4897003,222.6820068,0
