FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,d_2_young_rift,lon,lat,GHF,upper_mantle_vel_structure,rock_type,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
0,1.0,12.999,13.0,0.060800001,2048.46,2135.04,3879.25,1764.58,30.50409809,1.980000019,36.3899994,622.95,-110.333313,75.50012207,54.0,2.0,3.0,2.29706001,-1.69836,-42.0954018,219571.0,110.1439972,76.2264023
1,1.0,12.999,13.0,0.060800001,2048.46,2135.04,3879.25,1764.58,30.50409809,1.980000019,36.3899994,622.95,-111.333313,75.50012207,57.5,2.0,3.0,2.27785993,-13.7006998,-42.2949982,237790.0,114.9789963,71.4031982
2,1.0,13.0,13.0,0.0383,2056.02,2063.41,3853.5,1708.09,30.43846251,1.980000019,38.8499985,704.73,-113.333313,74.50012207,56.0,2.0,3.0,2.28220248,17.4319992,-26.9820995,245314.0,119.2320023,-151.2480011
3,1.0,13.0,12.0,0.034299999,1872.02,2567.14,4110.06,2071.42,34.67708177,1.980000019,35.2799988,167.55,-95.33331299,74.50012207,118.1669998,2.0,3.0,2.11801505,-64.8132019,-30.2311993,183278.0,123.3050003,-74.8432999
4,1.0,10.0,9.5,0.0059,2057.43,1913.82,3817.14,1585.16,25.70019455,1.00999999,34.7599983,893.78,-121.333313,74.50012207,46.530899,2.0,3.0,2.74049759,10.6483002,-31.743,242293.0,114.7669983,139.4219971
5,1.0,12.001,12.5,0.0678,1922.91,2652.72,4110.25,2163.25,35.92352989,1.00999999,40.8199997,69.81,-91.33331299,73.50012207,35.0,2.0,3.0,2.16012001,-166.4340057,-28.8785,195690.0,125.6930008,198.6710052
6,1.0,11.998,12.5,0.0484,2022.87,2416.94,3947.23,1981.83,32.03903869,1.00999999,39.0,301.97,-99.33331299,73.50012207,43.2221985,2.0,3.0,2.20699453,-9999.0,-33.219799,210620.0,106.0039978,126.6790009
7,1.0,12.003,12.5,0.030300001,2168.65,1897.84,3718.8,1587.78,26.87936011,1.00999999,41.0,864.66,-117.333313,73.50012207,48.0,2.0,3.0,2.56842685,-149.1300049,-31.8651009,267943.0,125.913002,167.7250061
8,1.0,9.997,9.5,-0.027000001,2056.76,1858.71,3811.99,1533.75,24.01041441,1.00999999,34.8100014,972.82,-123.333313,73.50012207,71.4259033,2.0,3.0,2.79437256,-2.60937,-37.6152,225520.0,130.375,50.6525993
9,1.0,12.005,12.49,0.031500001,2168.75,1830.67,3706.32,1518.11,24.90983741,1.00999999,41.0,946.44,-120.333313,73.50012207,50.796299,2.0,3.0,2.68612146,-135.4190063,-38.3597984,237485.0,106.1009979,269.6350098
10,5.0,12.997,13.0,-0.009,2279.69,1704.45,3590.62,1395.61,22.90196498,0.959999979,41.0,1061.67,-122.333313,72.50012207,56.7593002,1.0,3.0,2.83379745,-44.9332008,-36.3745003,237436.0,115.5279999,157.4850006
11,5.0,12.005,12.49,0.0067,2280.06,1750.37,3595.52,1443.59,24.13503677,0.959999979,41.0,1007.29,-120.333313,72.50012207,51.0741005,1.0,3.0,2.68612146,-15.1406002,-36.0629005,240636.0,118.3460007,154.8609924
12,5.0,13.003,12.0,0.02,2101.65,2432.06,3897.18,2017.22,31.97655391,0.959999979,36.8800011,291.25,-97.33331299,72.50012207,55.6110992,2.0,3.0,2.5608449,-125.3980026,-34.838501,229468.0,124.8190002,81.6350021
13,5.0,12.003,12.5,0.0061,2279.97,1824.46,3609.1,1516.55,26.1629509,0.959999979,41.0,921.77,-117.333313,72.50012207,52.0,1.0,3.0,2.80225468,-63.2989998,-35.7579002,271269.0,114.8399963,129.3509979
14,5.0,9.996,10.0,-0.035,2278.98,1661.59,3589.04,1350.78,21.78302091,0.959999979,34.0,1116.17,-124.333313,72.50012207,66.7469025,2.0,3.0,2.83379745,-128.9550018,-36.4029007,227800.0,112.6969986,124.1470032
15,1.0,7.0,6.995,-0.048099998,2060.63,1454.51,3908.2,941.44,26.95366394,1.00999999,29.9400005,568.16,-156.333313,70.50012207,59.4496994,4.0,3.0,1.69962001,-51.9542007,-28.7959003,200325.0,102.4039993,24.5811996
16,1.0,5.998,7.0,-0.019200001,2184.57,1322.61,3777.79,859.92,24.78911051,1.00999999,30.0,667.19,-154.333313,70.50012207,61.2845001,4.0,3.0,1.7899425,9.3976202,-30.7651997,198573.0,128.0429993,24.7171001
17,1.0,7.005,6.99,-0.0145,2065.38,1396.15,3884.29,833.91,27.90161286,1.00999999,31.0,523.87,-159.333313,70.50012207,56.7221985,4.0,3.0,1.59310496,-29.4521999,-29.1320992,191810.0,104.3130035,27.1536999
18,1.0,7.001,7.0,-0.0296,2301.8,1253.5,3636.89,884.74,20.70024154,1.00999999,33.6599998,877.9,-149.333313,69.50012207,59.703701,4.0,3.0,1.7602644,3.5034201,-29.9745007,209842.0,90.8103027,237.1159973
