FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,_lithk_cona,_depth_to_moho_?,d_2_young_rift,OBJECTID_1,lon,lat,_num_in_cell,_num_in_continent,GHF,upper_mantle_vel_structure,_lithology_HM_unmodified,rock_type,age,magnetic_anomaly,depth_to_moho,_depth_to_moho_pasyanos,lithos_asthenos_bdry,_airy_gravity_anomaly,bougeur_gravity_anomaly,topography,_continent
0,1,12.999,13.0,0.060800001,2048.46,2135.04,3879.25,1764.58,30.50409809,1.980000019,36.3899994,200.0,-36.64,622.95,14745,-110.333313,75.50012207,1,18947,54.0,2,5,3,2.29706001,-1.69836,-42.0954018,36907.69922,219571.0,-14.4223003,110.1439972,76.2264023,North America
1,1,12.999,13.0,0.060800001,2048.46,2135.04,3879.25,1764.58,30.50409809,1.980000019,36.3899994,200.0,-36.64,622.95,14744,-111.333313,75.50012207,1,18947,57.5,2,5,3,2.27785993,-13.7006998,-42.2949982,38209.69922,237790.0,-7.2954302,114.9789963,71.4031982,North America
2,1,13.0,13.0,0.0383,2056.02,2063.41,3853.5,1708.09,30.43846251,1.980000019,38.8499985,200.0,-39.0,704.73,14667,-113.333313,74.50012207,2,18947,56.0,2,5,3,2.28220248,17.4319992,-26.9820995,41135.10156,245314.0,-18.5734997,119.2320023,-151.2480011,North America
3,1,13.0,12.0,0.034299999,1872.02,2567.14,4110.06,2071.42,34.67708177,1.980000019,35.2799988,200.0,-35.29,167.55,14669,-95.33331299,74.50012207,2,18947,118.1669998,2,5,3,2.11801505,-64.8132019,-30.2311993,33659.60156,183278.0,-4.3288498,123.3050003,-74.8432999,North America
4,1,10.0,9.5,0.0059,2057.43,1913.82,3817.14,1585.16,25.70019455,1.00999999,34.7599983,200.0,-35.0,893.78,14666,-121.333313,74.50012207,1,18947,46.530899,2,5,3,2.74049759,10.6483002,-31.743,38226.80078,242293.0,-20.5517006,114.7669983,139.4219971,North America
5,1,12.001,12.5,0.0678,1922.91,2652.72,4110.25,2163.25,35.92352989,1.00999999,40.8199997,200.0,-41.0,69.81,14576,-91.33331299,73.50012207,1,18947,35.0,2,5,3,2.16012001,-166.4340057,-28.8785,34308.10156,195690.0,11.0094995,125.6930008,198.6710052,North America
6,1,11.998,12.5,0.0484,2022.87,2416.94,3947.23,1981.83,32.03903869,1.00999999,39.0,200.0,-38.9,301.97,14570,-99.33331299,73.50012207,1,18947,43.2221985,2,5,3,2.20699453,-9999.0,-33.219799,32082.0,210620.0,-13.1346998,106.0039978,126.6790009,North America
7,1,12.003,12.5,0.030300001,2168.65,1897.84,3718.8,1587.78,26.87936011,1.00999999,41.0,200.0,-40.79,864.66,14563,-117.333313,73.50012207,1,18947,48.0,2,5,3,2.56842685,-149.1300049,-31.8651009,38845.89844,267943.0,9.2605495,125.913002,167.7250061,North America
8,1,9.997,9.5,-0.027000001,2056.76,1858.71,3811.99,1533.75,24.01041441,1.00999999,34.8100014,200.0,-35.0,972.82,14557,-123.333313,73.50012207,3,18947,71.4259033,2,5,3,2.79437256,-2.60937,-37.6152,42612.80078,225520.0,4.2108202,130.375,50.6525993,North America
9,1,12.005,12.49,0.031500001,2168.75,1830.67,3706.32,1518.11,24.90983741,1.00999999,41.0,210.0,-40.79,946.44,14560,-120.333313,73.50012207,1,18947,50.796299,2,5,3,2.68612146,-135.4190063,-38.3597984,39874.30078,237485.0,-9.8508101,106.1009979,269.6350098,North America
10,5,12.997,13.0,-0.009,2279.69,1704.45,3590.62,1395.61,22.90196498,0.959999979,41.0,200.0,-40.81,1061.67,14430,-122.333313,72.50012207,2,18947,56.7593002,1,5,3,2.83379745,-44.9332008,-36.3745003,46888.19922,237436.0,-1.06741,115.5279999,157.4850006,North America
11,5,12.005,12.49,0.0067,2280.06,1750.37,3595.52,1443.59,24.13503677,0.959999979,41.0,200.0,-40.83,1007.29,14432,-120.333313,72.50012207,1,18947,51.0741005,1,5,3,2.68612146,-15.1406002,-36.0629005,43757.89844,240636.0,1.4053299,118.3460007,154.8609924,North America
12,5,13.003,12.0,0.02,2101.65,2432.06,3897.18,2017.22,31.97655391,0.959999979,36.8800011,200.0,-37.0,291.25,14450,-97.33331299,72.50012207,1,18947,55.6110992,2,5,3,2.5608449,-125.3980026,-34.838501,35372.0,229468.0,4.4130001,124.8190002,81.6350021,North America
13,5,12.003,12.5,0.0061,2279.97,1824.46,3609.1,1516.55,26.1629509,0.959999979,41.0,210.0,-40.88,921.77,14435,-117.333313,72.50012207,1,18947,52.0,1,5,3,2.80225468,-63.2989998,-35.7579002,44726.69922,271269.0,-0.784117,114.8399963,129.3509979,North America
14,5,9.996,10.0,-0.035,2278.98,1661.59,3589.04,1350.78,21.78302091,0.959999979,34.0,200.0,-33.92,1116.17,14428,-124.333313,72.50012207,1,18947,66.7469025,2,5,3,2.83379745,-128.9550018,-36.4029007,41353.5,227800.0,-13.0045004,112.6969986,124.1470032,North America
15,1,7.0,6.995,-0.048099998,2060.63,1454.51,3908.2,941.44,26.95366394,1.00999999,29.9400005,120.0,-30.0,568.16,14118,-156.333313,70.50012207,1,18947,59.4496994,4,3,3,1.69962001,-51.9542007,-28.7959003,37199.80078,200325.0,-30.1844006,102.4039993,24.5811996,North America
16,1,5.998,7.0,-0.019200001,2184.57,1322.61,3777.79,859.92,24.78911051,1.00999999,30.0,120.0,-29.98,667.19,14120,-154.333313,70.50012207,7,18947,61.2845001,4,3,3,1.7899425,9.3976202,-30.7651997,37713.39844,198573.0,-5.5521698,128.0429993,24.7171001,North America
17,1,7.005,6.99,-0.0145,2065.38,1396.15,3884.29,833.91,27.90161286,1.00999999,31.0,100.0,-30.98,523.87,14115,-159.333313,70.50012207,2,18947,56.7221985,4,3,3,1.59310496,-29.4521999,-29.1320992,38093.39844,191810.0,-27.8701992,104.3130035,27.1536999,North America
18,1,7.001,7.0,-0.0296,2301.8,1253.5,3636.89,884.74,20.70024154,1.00999999,33.6599998,180.0,-33.67,877.9,13908,-149.333313,69.50012207,3,18947,59.703701,4,3,3,1.7602644,3.5034201,-29.9745007,36430.69922,209842.0,-13.5415001,90.8103027,237.1159973,North America
19,1,7.005,6.99,-0.0145,2065.38,1396.15,3884.29,833.91,27.90161286,1.00999999,31.0,100.0,-30.98,523.87,14116,-158.333313,70.50012207,2,18947,59.6851997,4,3,3,1.65079498,-99.6573029,-28.0475006,36215.89844,183780.0,-26.9169998,104.9440002,28.2835999,North America
20,1,7.005,7.0,-0.0163,2214.01,1307.58,3752.66,861.5,24.05202694,1.00999999,30.0,140.0,-29.98,702.99,14121,-153.333313,70.50012207,4,18947,65.3470001,4,3,3,1.82121253,-19.8808002,-31.4741993,38550.39844,199394.0,-13.2631998,120.9179993,21.4391994,North America
21,1,6.998,7.0,-0.0177,2271.0,1281.67,3704.32,869.69,22.63846285,1.00999999,30.0,140.0,-30.0,773.44,14122,-152.333313,70.50012207,7,18947,67.6912994,4,3,3,1.82797754,-27.6005993,-32.1478004,38214.0,192428.0,-20.9547005,114.2630005,16.9073009,North America
22,1,7.0,6.995,-0.048099998,2060.63,1454.51,3908.2,941.44,26.95366394,1.00999999,29.9400005,110.0,-30.0,568.16,14117,-157.333313,70.50012207,2,18947,61.4073982,4,3,3,1.68630004,-112.7630005,-27.9573994,36242.0,189031.0,-28.4892998,103.6699982,21.9755001,North America
23,1,9.996,9.5,0.0057,1974.55,1461.26,3969.94,824.53,30.3726851,1.00999999,30.9899998,100.0,-31.0,414.75,13896,-161.333313,69.50012207,1,18947,36.8889008,4,3,3,1.40408754,-30.5517998,-27.9841003,39010.19922,182325.0,-2.55143,111.8560028,159.1790009,North America
24,1,10.998,11.0,0.0232,2044.28,1143.19,3358.12,808.49,15.70031847,1.00999999,32.9399986,210.0,-33.0,1213.49,13917,-140.333313,69.50012207,1,18947,50.6296005,4,3,3,1.9567337,-69.5578995,-31.0266991,37336.69922,172113.0,10.8502998,108.4789963,405.4429932,North America
25,1,7.001,7.0,-0.0296,2301.8,1253.5,3636.89,884.74,20.70024154,1.00999999,33.6599998,190.0,-33.67,877.9,13909,-148.333313,69.50012207,6,18947,54.8889008,4,3,3,1.80316818,-6.1441102,-30.6436005,37755.5,192823.0,-20.1040993,78.6785965,248.9519958,North America
26,1,7.005,7.0,-0.0163,2214.01,1307.58,3752.66,861.5,24.05202694,1.00999999,30.0,130.0,-29.98,702.99,13904,-153.333313,69.50012207,1,18947,59.530201,4,3,3,1.72205186,101.7170029,-26.8393002,40591.10156,198782.0,-5.79598,106.7480011,183.5659943,North America
27,1,10.505,10.99,-0.0018,2247.71,1222.67,3697.34,760.12,24.13503677,0.959999979,38.0,110.0,-37.87,700.41,13903,-154.333313,69.50012207,2,18947,55.854599,4,3,3,1.68525755,171.9309998,-27.7817993,40130.39844,196582.0,-10.5396996,103.2809982,116.2249985,North America
28,5,10.0,11.0,-0.0016,2002.58,1263.85,3274.53,965.03,16.4468842,0.959999979,34.0,210.0,-33.98,1496.07,13921,-130.333313,69.50012207,3,18947,70.6135025,2,5,3,2.43215489,-7.6813898,-35.5607986,35018.39844,239581.0,1.9487,126.7839966,21.4088993,North America
29,1,10.502,11.0,0.0005,2303.98,1190.15,3644.25,768.75,22.63846285,0.959999979,38.0,110.0,-37.85,756.6,13905,-152.333313,69.50012207,1,18947,64.1184998,4,3,3,1.74188066,242.2140045,-26.6984005,40862.69922,190301.0,-9.0252304,103.4499969,124.072998,North America
30,1,10.998,11.0,0.0232,2044.28,1143.19,3358.12,808.49,15.70031847,1.00999999,32.9399986,210.0,-33.0,1213.49,13918,-139.333313,69.50012207,3,18947,51.296299,4,1,3,1.95718849,-99.1750031,-26.7194996,32334.80078,196381.0,7.2149701,120.0790024,107.6210022,North America
31,1,8.003,8.0,0.035100002,2018.59,1175.92,3319.31,853.65,15.50806242,1.00999999,34.8100014,210.0,-34.82,1325.63,13919,-134.333313,69.50012207,38,18947,58.6409988,2,5,3,2.12345767,-3.4256201,-30.8824005,35649.89844,180316.0,-51.0029984,78.1287003,18.7422009,North America
32,5,10.0,11.0,0.020500001,2003.05,1243.26,3281.44,939.66,16.14001239,0.959999979,34.0,210.0,-33.98,1478.24,13920,-132.333313,69.50012207,26,18947,63.9898987,2,5,3,2.27738571,-116.6409988,-35.446701,31963.0,213220.0,-19.7705002,107.7779999,17.1086998,North America
33,1,10.502,11.0,0.0028,2091.95,1304.19,3811.09,737.58,27.32215218,0.959999979,38.0,100.0,-37.79,553.3,13899,-158.333313,69.50012207,1,18947,50.8333015,4,3,3,1.53944182,-22.0340004,-30.5762005,40593.89844,182085.0,-14.2764997,94.9644012,267.1650085,North America
34,1,10.502,11.0,-0.0348,2249.16,1105.41,3589.67,669.89,22.72663635,0.959999979,38.0,100.0,-37.23,647.09,13664,-153.333313,68.50012207,1,18947,55.6935997,4,5,3,1.52373064,130.897995,-34.9799004,41548.19922,195689.0,12.6780005,70.6225967,1014.109985,North America
35,1,8.0,8.0,0.0211,1926.43,1045.1,3239.92,722.7,14.57737974,1.440000057,37.0,210.0,-36.58,1222.36,13680,-137.333313,68.50012207,4,18947,59.232399,2,3,3,1.86363006,-102.223999,-27.7024002,34315.89844,180562.0,-8.2010202,79.5490036,548.5189819,North America
