FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,d_2_young_rift,lon,lat,upper_mantle_vel_structure,rock_type,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
189,5.0,13.0,12.0,-0.0471,726.6099853,4714.029785,4632.930176,1180.369995,24.74873734,0.95999998,39.6899986,743.1400147,-44.33331299,60.50012207,5.0,1,1.26450753,-2.34302,-34.8465996,66500.60156,74.2317963,1566.439941
191,5.0,12.99800015,12.0,-0.0403,678.0100098,4659.569824,4578.120117,1133.0,23.75920868,0.95999998,39.2000008,796.9000244,-43.33331299,60.50012207,5.0,1,1.19198251,118.8059998,-35.1991005,52124.19922,107.5009995,80.5771027
185,1.0,13.00399971,12.0,-0.0428,920.789978,4655.379883,4793.220215,1273.380005,27.61340332,1.00999999,36.5099983,628.5999756,-47.33331299,61.50012207,6.0,1,1.37118006,-31.1324997,-41.9016991,143993.0,44.0850983,799.4240112
186,5.0,13.00399971,12.0,-0.0335,872.9500122,4697.970215,4740.109863,1225.430054,26.61766243,0.95999998,40.0,676.0900269,-46.33331299,61.50012207,6.0,1,1.37118006,113.1279984,-33.9687004,122690.0,8.01262,969.8920288
187,5.0,13.0,12.0,-0.038,825.8900147,4740.25,4687.0,1177.22998,25.62225533,0.95999998,40.0,724.6900024,-45.33331299,61.50012207,6.0,1,1.33562255,324.6860046,-29.969101,82662.60156,30.3145008,844.5170288
188,5.0,13.0,12.0,-0.0481,777.1500244,4726.779785,4633.879883,1129.109985,24.62722015,0.95999998,40.0,774.1699829,-44.33331299,61.50012207,6.0,1,1.26450753,194.5839996,-31.9738007,64430.10156,20.5335007,1104.76001
190,5.0,12.99800015,12.0,-0.0412,729.3800049,4674.140137,4580.790039,1081.089966,23.6326046,0.95999998,39.5600014,824.3599853,-43.33331299,61.50012207,6.0,1,1.19198251,212.0690002,-34.3129997,50483.30078,32.4425011,278.7369995
238,1.0,10.00399971,11.0,-0.0433,969.3699951,4612.47998,4846.299805,1321.329956,28.60943985,1.00999999,33.0200005,582.210022,-48.33331299,61.50012207,6.0,2,1.37118006,34.4001999,-43.4849014,151115.0,93.5221024,1108.969971
224,1.0,13.0010004,12.0,-0.0467,1061.069946,4505.72998,4893.959961,1325.670044,29.53811073,1.00999999,41.5,594.3599853,-49.33331299,62.50012207,6.0,2,1.69812751,-99.6996994,-47.7626991,189934.0,92.3600998,706.7349854
226,1.0,13.0010004,12.0,-0.0635,1013.190002,4548.02002,4842.589844,1277.699951,28.53944588,1.00999999,41.5,636.9899902,-48.33331299,62.50012207,6.0,2,1.66914248,79.7577972,-52.0444984,172448.0,40.7751999,1143.560059
233,1.0,13.00199985,12.0,-0.0537,965.9799805,4590.02002,4791.189941,1229.709961,27.5408783,1.00999999,40.0,681.2299805,-47.33331299,62.50012207,6.0,2,1.41865385,209.8670044,-47.5703011,183467.0,43.6841011,1172.550049
234,1.0,13.00199985,12.0,-0.0378,919.5700073,4631.700195,4739.790039,1181.709961,26.54241943,1.00999999,40.0,720.9899902,-46.33331299,62.50012207,6.0,2,1.41865385,121.8889999,-39.1795006,172344.0,5.0192699,934.065979
235,1.0,12.99600029,12.0,-0.0373,874.0800171,4673.060059,4688.399902,1133.709961,25.54407883,1.00999999,40.0,744.6099853,-45.33331299,62.50012207,6.0,2,1.36476374,199.7310028,-33.4566994,126593.0,36.5320015,973.7780151
236,1.0,12.99600029,12.0,-0.0455,829.3099976,4714.120117,4637.02002,1085.72998,24.54587555,1.00999999,38.2000008,770.2600098,-44.33331299,62.50012207,6.0,2,1.29631627,-46.0187988,-32.9252014,90300.89844,28.6014996,1486.599976
